Axyz,Act
4.833696418,walking
5.924876965,walking
6.276110089,walking
6.384199531,walking
4.549856132,walking
5.27190268,walking
8.076078111,walking
16.38924125,walking
21.54655201,walking
22.21037855,walking
10.34988017,walking
12.4362951,walking
18.70888737,walking
13.73843986,walking
13.13315942,walking
5.353801815,walking
6.474606599,walking
8.031973464,walking
11.78642188,walking
13.61689513,walking
11.49936723,walking
7.017845009,walking
6.92456527,walking
9.318711751,walking
10.11289555,walking
10.11289555,walking
10.7181801,walking
10.19088169,walking
10.70268988,walking
10.69972775,walking
10.55482779,walking
12.06031176,walking
12.09537721,walking
12.56488841,walking
12.98510661,walking
12.83178604,walking
12.86234111,walking
12.62868942,walking
15.2023314,walking
12.01205461,walking
12.34080744,walking
14.47113928,walking
16.52072651,walking
15.72947978,walking
15.12833285,walking
11.94180909,walking
8.831641021,walking
6.437889607,walking
6.65328836,walking
6.623560543,walking
5.471861622,walking
5.81260166,walking
6.157437717,walking
5.846289135,walking
4.818545928,walking
5.179294184,walking
6.507935367,walking
13.39267228,walking
22.12765547,walking
22.93165346,walking
15.17468594,walking
11.29395596,walking
17.02995045,walking
19.61990713,walking
13.25904168,walking
7.006030661,walking
5.780079407,walking
7.969249032,walking
12.31187172,walking
13.64849032,walking
12.62756934,walking
10.32239806,walking
7.451618448,walking
7.131780757,walking
7.597518338,walking
10.38053247,walking
11.35152162,walking
10.76481147,walking
9.621093643,walking
9.48631405,walking
9.98986612,walking
10.36747549,walking
11.76256407,walking
12.12766902,walking
13.15074121,walking
13.34745987,walking
13.81278534,walking
13.86277247,walking
15.84766634,walking
14.34100268,walking
11.98369502,walking
10.59060712,walking
12.50273896,walking
13.82546915,walking
15.27316734,walking
14.80105286,walking
13.36549837,walking
9.45636222,walking
7.747092089,walking
7.422472816,walking
6.297668457,walking
5.190516537,walking
4.368617307,walking
4.962770328,walking
5.598572605,walking
4.826618703,walking
4.545773081,walking
5.972303735,walking
14.58553304,walking
24.88074188,walking
25.63563869,walking
17.71463317,walking
10.90782852,walking
13.15594741,walking
19.50593136,walking
14.95755209,walking
10.43246268,walking
6.040291075,walking
7.776203164,walking
11.92784204,walking
14.37621124,walking
13.2069035,walking
10.51948074,walking
7.446280117,walking
7.135944903,walking
8.808132416,walking
10.07949634,walking
11.42066925,walking
10.99269172,walking
10.22683874,walking
9.838086892,walking
9.594156634,walking
11.09244049,walking
11.72157282,walking
11.99826545,walking
12.44780396,walking
12.66840895,walking
12.93598251,walking
13.05288485,walking
16.10018912,walking
14.99640441,walking
9.912451966,walking
10.72456625,walking
12.53263734,walking
16.78062009,walking
15.96664152,walking
15.25724526,walking
12.90591419,walking
10.18347105,walking
7.366575761,walking
7.396790709,walking
6.008118221,walking
5.125851301,walking
4.3806292,walking
5.552757677,walking
5.92243419,walking
4.959924851,walking
4.843359369,walking
5.806247595,walking
15.21565145,walking
21.82257318,walking
23.02248485,walking
15.76047883,walking
12.98902233,walking
18.47976042,walking
18.70152499,walking
14.00301604,walking
10.88125396,walking
3.825641314,walking
8.789883674,walking
9.987305688,walking
15.43486024,walking
13.81644745,walking
10.35804375,walking
6.851522812,walking
7.911315643,walking
8.921183285,walking
11.30301623,walking
11.30511225,walking
10.45693927,walking
9.105678125,walking
9.299891654,walking
10.9479091,walking
10.9479091,walking
10.9479091,walking
12.69919324,walking
12.60929923,walking
12.89134575,walking
13.20123468,walking
15.57662616,walking
14.3148708,walking
11.74806613,walking
12.04817793,walking
13.37649383,walking
15.60101807,walking
14.82910202,walking
13.81152563,walking
13.81152563,walking
8.916299825,walking
7.322272276,walking
6.931257872,walking
5.860758502,walking
3.867213849,walking
4.627094784,walking
5.915469686,walking
6.273932178,walking
5.276745666,walking
