Axyz,Act
14.41013977,walking
17.02611703,walking
17.36061594,walking
17.17255283,walking
12.27121034,walking
12.53904415,walking
12.19839926,walking
8.311137926,walking
6.235707848,walking
5.361429967,walking
5.470083623,walking
4.495327519,walking
4.107009622,walking
2.723705234,walking
1.896065212,walking
3.567502512,walking
7.997300063,walking
15.78026742,walking
28.43695318,walking
25.37562567,walking
18.36218346,walking
6.542804306,walking
6.150154427,walking
16.06252911,walking
20.37894191,walking
16.13576351,walking
4.559031304,walking
4.559031304,walking
14.49522414,walking
16.18654047,walking
17.12823704,walking
19.12912966,walking
18.23029313,walking
9.464873227,walking
7.424390037,walking
7.754311612,walking
7.030101543,walking
7.652429435,walking
7.807814918,walking
7.799032474,walking
7.780814681,walking
9.067175611,walking
9.915740146,walking
11.94294674,walking
14.15677201,walking
13.96242954,walking
13.65974228,walking
15.54864682,walking
15.64405532,walking
15.34890338,walking
14.44961095,walking
13.64095964,walking
12.37500474,walking
13.69531584,walking
15.76119715,walking
17.5392746,walking
16.54578354,walking
13.71638673,walking
12.08896912,walking
11.35415669,walking
11.10571277,walking
9.571278637,walking
6.16922891,walking
6.548224285,walking
4.834402937,walking
4.550927022,walking
4.312385694,walking
3.195360697,walking
2.757542535,walking
3.983911908,walking
9.337351377,walking
13.4187137,walking
25.40411632,walking
24.53759807,walking
12.13489707,walking
7.567931168,walking
9.716923269,walking
19.94595453,walking
11.84147586,walking
8.706827798,walking
5.076880513,walking
12.87532495,walking
17.1535682,walking
14.16316014,walking
12.61532092,walking
16.49686526,walking
19.37525444,walking
13.6992365,walking
6.501878265,walking
6.839368296,walking
6.60887495,walking
8.028894391,walking
7.552769983,walking
7.535651472,walking
7.921846556,walking
10.25761899,walking
11.4096424,walking
11.95255238,walking
14.18901409,walking
13.97940958,walking
14.84057416,walking
15.64988023,walking
16.00217012,walking
15.81098097,walking
15.09545137,walking
12.86212027,walking
11.73919169,walking
13.91520097,walking
17.500933,walking
17.48582164,walking
17.25155522,walking
12.36566983,walking
11.04051413,walking
12.02059145,walking
11.07333241,walking
7.243009299,walking
5.733415029,walking
6.530728536,walking
4.655803207,walking
3.637554653,walking
3.094807025,walking
1.591704927,walking
3.416496552,walking
5.883197421,walking
17.88954625,walking
27.36165353,walking
25.66303064,walking
14.91820582,walking
4.642367321,walking
9.623708017,walking
19.43068553,walking
16.97642094,walking
7.475010282,walking
5.842981516,walking
10.84099052,walking
16.83341625,walking
15.40135643,walking
12.82598968,walking
19.36758134,walking
20.26144741,walking
10.64716708,walking
7.343000518,walking
6.950579685,walking
6.953119791,walking
7.898890728,walking
6.572544983,walking
7.182836752,walking
8.135663735,walking
9.995775345,walking
10.79571644,walking
12.23677974,walking
12.80776776,walking
13.25915188,walking
14.57502192,walking
15.52142222,walking
15.33322706,walking
15.62033891,walking
14.96529329,walking
12.98326438,walking
12.18727856,walking
12.58323811,walking
15.60898896,walking
17.38816297,walking
17.88210243,walking
15.38107264,walking
12.89269487,walking
11.6114829,walking
11.66801471,walking
9.779992072,walking
7.65884875,walking
5.666557732,walking
4.990056754,walking
4.433806064,walking
4.087304993,walking
3.253820722,walking
1.571817328,walking
2.983990806,walking
6.850471046,walking
18.4793391,walking
26.17173347,walking
21.73200257,walking
15.71929858,walking
15.71929858,walking
15.71929858,walking
5.651100572,walking
15.30101583,walking
6.147873742,walking
3.973031336,walking
11.31656355,walking
16.80277161,walking
13.39490622,walking
13.81793806,walking
15.83159116,walking
17.37230699,walking
12.54108834,walking
7.463787017,walking
6.679272084,walking
6.587343115,walking
7.41066344,walking
7.598883331,walking
7.520705871,walking
8.544771263,walking
9.511372309,walking
10.88031718,walking
11.44632018,walking
13.12412751,walking
13.60720699,walking
13.20308765,walking
13.6649911,walking
16.08496864,walking
15.82502204,walking
14.74660458,walking
14.57292018,walking
13.71156654,walking
10.94691028,walking
15.67212945,walking
16.81051564,walking
15.54354666,walking
15.37441967,walking
13.69905073,walking
10.73600721,walking
11.10720083,walking
9.483363893,walking
7.631745899,walking
5.054969275,walking
4.894116923,walking
4.894116923,walking
4.142521379,walking
2.476412785,walking
2.696930401,walking
6.91019713,walking
19.78222286,walking
26.85338506,walking
23.65441463,walking
12.82590007,walking
8.092228893,walking
7.864586933,walking
16.74895666,walking
17.91221637,walking
11.02073068,walking
4.650152417,walking
4.183631264,walking
10.69571151,walking
15.81952414,walking
13.24462958,walking
16.41666197,walking
17.36038148,walking
16.34003469,walking
7.89548537,walking
6.661105357,walking
7.061632091,walking
7.698070778,walking
8.511577601,walking
8.188342163,walking
7.83173993,walking
8.370711049,walking
9.13180198,walking
11.24469945,walking
11.78052073,walking
12.16639422,walking
12.91155182,walking
14.14253928,walking
14.9103019,walking
16.7348504,walking
14.80373216,walking
14.15381467,walking
13.51631385,walking
11.41311593,walking
13.13210224,walking
16.52416936,walking
17.41395225,walking
16.51908855,walking
13.69036205,walking
11.71248779,walking
10.93763363,walking
10.21139783,walking
8.697282213,walking
5.708969796,walking
5.308200809,walking
4.822874714,walking
4.420351299,walking
4.274157984,walking
3.44110229,walking
2.234392265,walking
