Mean,Std,Skewness,Max,Min,Max-Min,Activity
11.092791043941,4.14909947801995,0.27705892838930735,22.19397573,3.825625328,18.368350401999997,walking
11.097707361802,4.153791797843152,0.2728477334977949,22.19397573,3.825625328,18.368350401999997,walking
11.088235952348,4.133334795842905,0.28562153742255514,22.19397573,3.825625328,18.368350401999997,walking
11.082948831775001,4.131828751681973,0.2851352922771262,21.95103353,3.825625328,18.125408202,walking
11.070701790808002,4.134255255724402,0.2971873218494319,21.95103353,3.825625328,18.125408202,walking
11.066070203842001,4.132038374329931,0.29641851827663274,22.70002759,3.825625328,18.874402262,walking
11.071243846227,4.135227566493541,0.2906137898543599,22.70002759,3.825625328,18.874402262,walking
11.064155648642,4.146914232076375,0.29919604510493136,22.70002759,3.825625328,18.874402262,walking
11.054538303636,4.150837368630578,0.29483818319907434,22.70002759,3.825625328,18.874402262,walking
11.060703558895998,4.172977298041685,0.30261090300012783,22.70002759,3.881967921,18.818059669,walking
11.053464554504,4.17628313056843,0.30809131797431777,22.70002759,3.881967921,18.818059669,walking
11.058946917683999,4.18620140057823,0.3048272734130308,22.70002759,3.881967921,18.818059669,walking
11.079854113377001,4.22206201273669,0.3165530963855326,24.22949509,3.881967921,20.347527169,walking
11.098096517517,4.25618930692791,0.32232852738859585,24.22949509,3.573699295,20.655795795,walking
11.120544635399002,4.274445688536726,0.30984090660496977,24.22949509,3.573699295,20.655795795,walking
11.136765996642,4.272163269108016,0.3057908131910188,24.22949509,3.573699295,20.655795795,walking
11.14077020042,4.277676231677914,0.3041378609528533,24.22949509,3.573699295,20.655795795,walking
11.128971628867,4.2674624744496,0.3107835049208533,24.22949509,3.573699295,20.655795795,walking
11.139549126311,4.273909893940217,0.31393265491542016,24.22949509,3.573699295,20.655795795,walking
11.144694536893999,4.283243681717201,0.3123896067779844,24.22949509,3.573699295,20.655795795,walking
11.149432750951,4.2844529470218315,0.3089119963309541,24.22949509,3.573699295,20.655795795,walking
11.152088706372,4.278876486327334,0.30303464912886313,24.22949509,3.573699295,20.655795795,walking
11.160881271054,4.303420567181872,0.2944894098168767,24.22949509,3.573699295,20.655795795,walking
11.157555864904,4.298981168510498,0.2978376455449589,24.22949509,3.573699295,20.655795795,walking
11.161240788719,4.293876653653121,0.2980498807489379,24.22949509,3.573699295,20.655795795,walking
11.168496081953,4.28219367160548,0.29883830320631377,24.22949509,3.573699295,20.655795795,walking
11.168378341519,4.284431699193285,0.30115979260859294,24.22949509,3.573699295,20.655795795,walking
11.165983467263,4.268363956679038,0.2985153093622173,24.22949509,3.573699295,20.655795795,walking
11.167746878561,4.260646963214592,0.31653837331803575,24.22949509,3.573699295,20.655795795,walking
11.156302929590002,4.230538654861422,0.3148117274246783,24.22949509,3.573699295,20.655795795,walking
11.155201587227001,4.232897946362313,0.31803305441760016,24.22949509,3.573699295,20.655795795,walking
11.138976773449002,4.204161298470208,0.3226907389853804,24.22949509,3.573699295,20.655795795,walking
11.121549525901,4.186687485285823,0.3233153111342146,22.99882141,3.573699295,19.425122115,walking
11.111142457688002,4.143064927286112,0.3189739156623114,22.35551284,4.076924221,18.278588619,walking
11.101016366225002,4.115623000990124,0.3402600668925728,22.35551284,4.076924221,18.278588619,walking
11.067728924193002,4.066105645697162,0.3690488402682003,22.35551284,4.099221412,18.256291427999997,walking
11.037755620705001,3.9912724872315017,0.39196651576055885,22.35551284,4.099221412,18.256291427999997,walking
11.041204107655,3.957201725642948,0.38588976436777855,22.35551284,4.099221412,18.256291427999997,walking
11.026202611989,3.9285324313058774,0.38479315251462903,21.78495647,4.099221412,17.685735058,walking
11.020214894609,3.9170305115122845,0.3899087902766573,21.78495647,4.099221412,17.685735058,walking
11.006240096509998,3.8965214879883665,0.397444090201997,21.37997321,4.099221412,17.280751797999997,walking
11.008520821917,3.89682861557093,0.39897155881826174,21.37997321,4.099221412,17.280751797999997,walking
11.00335630743,3.8854380036363927,0.4080845187981548,21.37997321,4.382210648,16.997762562,walking
11.005984778831,3.8678924994559174,0.3987205018214618,21.37997321,4.382210648,16.997762562,walking
10.995999232594,3.8492089567590413,0.3865040061156038,21.37997321,3.682710625,17.697262585,walking
11.003857248610998,3.852632860643106,0.3815938757133511,21.37997321,3.682710625,17.697262585,walking
11.008931821651,3.8388640363603024,0.3761528747401834,21.37997321,3.682710625,17.697262585,walking
11.019445767576,3.8391934377429044,0.37320101094703356,21.37997321,3.682710625,17.697262585,walking
11.031520994036,3.850299100892286,0.36301249172412786,21.64556802,3.682710625,17.962857395,walking
11.034264656955,3.8530434123342507,0.368339899291649,22.22169334,3.682710625,18.538982715000003,walking
11.033797639342,3.8391131480315015,0.3526435471488933,22.22169334,3.682710625,18.538982715000003,walking
11.032199535321,3.8360378007351223,0.3475534667756235,22.22169334,3.682710625,18.538982715000003,walking
11.033136618338,3.8315153138886093,0.3400303082058165,22.70065356,3.682710625,19.017942935,walking
11.028984567791,3.8357636809258877,0.3339888849008153,22.70065356,3.682710625,19.017942935,walking
11.026797746634,3.867485594549314,0.33109915840436777,22.70065356,3.682710625,19.017942935,walking
11.040959143132001,3.913002950517517,0.31550889655150316,22.70065356,3.682710625,19.017942935,walking
11.071206679875,3.969181898867098,0.29715245950461794,22.70065356,3.682710625,19.017942935,walking
11.071002362588999,3.9905753586314843,0.3026828872657265,22.70065356,3.682710625,19.017942935,walking
