Axyz,Act
11.00693502,walking
11.96920173,walking
13.67816065,walking
14.75699892,walking
15.21783552,walking
15.22232696,walking
13.83611985,walking
13.5157729,walking
14.76002514,walking
14.96288,walking
14.49608486,walking
12.66228512,walking
11.27045919,walking
9.905857111,walking
8.679122495,walking
8.279205194,walking
8.157763101,walking
7.99075661,walking
8.037123521,walking
8.053568478,walking
7.851642483,walking
7.593118733,walking
7.231074205,walking
6.923996542,walking
7.114296678,walking
7.333291143,walking
8.032423973,walking
8.753002887,walking
9.524507692,walking
10.34716274,walking
12.28613612,walking
12.92861513,walking
12.49224088,walking
11.75587384,walking
12.23346903,walking
12.70031663,walking
13.10243807,walking
12.6319829,walking
11.81785015,walking
9.468396638,walking
8.356858758,walking
7.600252758,walking
7.566379722,walking
8.068135877,walking
8.923716597,walking
10.21112283,walking
10.84067757,walking
10.91524989,walking
11.17659689,walking
10.97303401,walking
10.64265274,walking
10.62341612,walking
11.37497653,walking
12.13428978,walking
12.37156508,walking
12.59766895,walking
13.98377154,walking
15.76330358,walking
14.24749082,walking
13.14853661,walking
14.04578769,walking
15.31551959,walking
16.01619343,walking
14.9257993,walking
13.43665858,walking
11.7887078,walking
10.80578694,walking
9.26872172,walking
8.955264175,walking
8.349472814,walking
8.289360725,walking
8.239621395,walking
8.20364314,walking
7.907280079,walking
7.738261125,walking
7.544249667,walking
7.3146687,walking
7.495115308,walking
7.63976574,walking
8.449830322,walking
8.946658492,walking
9.898585994,walking
10.82293191,walking
10.82293191,walking
10.6405122,walking
10.10227821,walking
10.31617101,walking
12.24491145,walking
13.27959367,walking
13.66719245,walking
13.27255908,walking
12.64975421,walking
11.20969804,walking
9.5557415,walking
9.170272007,walking
8.729989711,walking
9.256201857,walking
9.955619835,walking
10.75052399,walking
11.48331952,walking
11.19524876,walking
11.00012296,walking
10.87160309,walking
10.52166908,walking
10.95299474,walking
11.92751182,walking
11.95883608,walking
11.92283669,walking
12.32639984,walking
15.12216332,walking
16.15332099,walking
14.57491958,walking
13.6899403,walking
15.01855625,walking
16.25441667,walking
16.67897507,walking
15.13798165,walking
13.83044243,walking
11.33938666,walking
10.34147383,walking
9.72111627,walking
8.955022714,walking
8.62418578,walking
8.250430122,walking
8.122381935,walking
7.929372812,walking
7.649956429,walking
6.917941747,walking
6.620881328,walking
6.280898601,walking
6.484537871,walking
6.818419696,walking
7.363495455,walking
8.586421062,walking
9.290156186,walking
10.31905976,walking
11.98575393,walking
12.1559763,walking
12.07041829,walking
12.43055197,walking
14.26076523,walking
15.01378204,walking
14.70406897,walking
12.8744319,walking
11.65044779,walking
10.83244741,walking
8.937904925,walking
8.541400702,walking
8.453156318,walking
9.279402673,walking
9.824500868,walking
10.17104056,walking
10.30032868,walking
10.39641149,walking
10.62335433,walking
10.30046419,walking
10.40646365,walking
10.69301669,walking
11.60640619,walking
12.49601584,walking
13.47690232,walking
14.36068894,walking
15.42188058,walking
15.00652015,walking
14.52767798,walking
13.93393706,walking
15.33724338,walking
15.62970012,walking
14.19826394,walking
13.31493049,walking
12.88620066,walking
10.26449137,walking
9.716511924,walking
8.685839708,walking
8.259113471,walking
7.987804588,walking
7.793339831,walking
7.267870859,walking
6.84762407,walking
6.699532962,walking
6.928909628,walking
6.717173021,walking
6.574021639,walking
6.706166585,walking
8.659805707,walking
9.447820781,walking
10.03213978,walking
12.42254687,walking
14.21446544,walking
13.79657131,walking
11.74704442,walking
11.86776067,walking
12.69066595,walking
13.66200057,walking
13.28762783,walking
12.94757005,walking
10.50445944,walking
9.067439081,walking
8.051078038,walking
7.653003853,walking
7.886599357,walking
8.329994156,walking
9.385746664,walking
9.945813305,walking
10.01086147,walking
10.18037596,walking
10.45791674,walking
10.4399209,walking
10.73328764,walking
11.44495701,walking
13.00037069,walking
13.44556855,walking
14.16558259,walking
14.89568658,walking
15.3452816,walking
13.59877653,walking
12.53713447,walking
14.66159503,walking
15.64814438,walking
15.86131254,walking
13.56693792,walking
12.39841937,walking
11.35749266,walking
9.375418876,walking
8.413192159,walking
8.491755382,walking
8.044370383,walking
7.708105455,walking
7.704341999,walking
7.505632257,walking
7.434039797,walking
7.342829376,walking
7.212213865,walking
7.283814036,walking
7.464015801,walking
8.228411795,walking
8.643893817,walking
9.010357439,walking
9.708729205,walking
12.25422053,walking
13.67330995,walking
13.4082105,walking
10.86552983,walking
10.65879978,walking
11.44770568,walking
12.70520688,walking
12.78031904,walking
11.89977308,walking
10.27055029,walking
8.949379363,walking
8.35125469,walking
7.576905338,walking
7.874614973,walking
8.510433849,walking
9.817236502,walking
10.3255324,walking
10.61018361,walking
11.07412326,walking
11.32223237,walking
11.46334723,walking
12.06111827,walking
12.52397412,walking
12.76209156,walking
12.70653609,walking
12.89846356,walking
13.65264661,walking
14.07152088,walking
14.31113063,walking
13.02592815,walking
13.42395115,walking
14.1428923,walking
14.50002791,walking
13.97679501,walking
13.51635926,walking
12.4800298,walking
10.23435302,walking
9.674267471,walking
8.734637706,walking
8.523838691,walking
8.112572456,walking
8.183077245,walking
8.194936551,walking
7.789840767,walking
7.630871958,walking
7.60427523,walking
7.766327697,walking
7.780408074,walking
7.889497404,walking
8.26435607,walking
8.712326651,walking
9.791051284,walking
10.19812155,walking
10.87192091,walking
11.78260899,walking
11.08656291,walking
10.8168467,walking
11.69609789,walking
12.46489778,walking
12.76189694,walking
12.8391264,walking
11.72826682,walking
10.45898208,walking
9.417513413,walking
8.318358644,walking
8.203901368,walking
8.410076375,walking
9.410461692,walking
9.824742889,walking
10.29505397,walking
10.79657107,walking
10.74749561,walking
10.59760361,walking
10.21267366,walking
10.52928893,walking
12.03043936,walking
12.96509491,walking
13.37157301,walking
13.46847679,walking
13.65882579,walking
14.34243064,walking
13.06886868,walking
12.24884955,walking
13.47272831,walking
14.37639107,walking
14.7232578,walking
13.77148427,walking
13.24266839,walking
12.15651446,walking
10.20044868,walking
9.400411467,walking
8.334079418,walking
8.264346265,walking
8.162634637,walking
8.051499497,walking
7.994436291,walking
8.256957602,walking
8.303179375,walking
8.077754465,walking
8.004681599,walking
8.210364515,walking
9.135604046,walking
9.644524889,walking
9.791062188,walking
10.17397816,walking
10.4238171,walking
11.12545437,walking
11.49630028,walking
10.46691903,walking
10.13090312,walking
10.81013339,walking
11.61875258,walking
12.15217368,walking
11.63562353,walking
10.90597669,walking
10.00019189,walking
8.502574393,walking
8.359760667,walking
8.312606819,walking
8.833986832,walking
9.482081538,walking
9.888125568,walking
10.88242331,walking
11.06391478,walking
11.04663531,walking
10.45872763,walking
10.39589671,walking
10.86305809,walking
12.57448989,walking
13.36203811,walking
13.30160946,walking
13.56518057,walking
13.81409473,walking
14.05705852,walking
13.86041516,walking
12.71919435,walking
12.87991927,walking
14.71840911,walking
14.910559,walking
14.63529285,walking
13.69460066,walking
11.22265101,walking
10.07120583,walking
8.222961701,walking
8.314689469,walking
8.222612009,walking
8.064537144,walking
7.726949466,walking
7.767875064,walking
7.470133467,walking
7.58273331,walking
7.528143896,walking
7.186032747,walking
7.087466421,walking
7.384886482,walking
8.811523072,walking
9.536344057,walking
10.12725833,walking
11.28199755,walking
12.14631669,walking
12.57017713,walking
10.57617305,walking
10.65884011,walking
12.59404281,walking
13.49388025,walking
13.77633973,walking
13.23258343,walking
11.24472891,walking
10.00872317,walking
8.370287079,walking
7.834806209,walking
7.648336269,walking
7.787982748,walking
9.260931537,walking
9.63636142,walking
10.43385748,walking
10.77221437,walking
10.80761614,walking
10.52496219,walking
10.53261931,walking
11.70708719,walking
12.89388182,walking
13.43872282,walking
13.83277128,walking
14.34652874,walking
14.56993065,walking
14.22028302,walking
12.55106595,walking
12.86719198,walking
13.46289157,walking
14.63885599,walking
14.29007699,walking
13.5753312,walking
11.48117093,walking
10.17746879,walking
9.47819687,walking
8.004699277,walking
7.992570232,walking
8.088777575,walking
8.038612205,walking
7.898942217,walking
7.869244636,walking
7.379231884,walking
7.218229503,walking
7.206585654,walking
7.47592713,walking
7.762144902,walking
8.195726177,walking
9.645611742,walking
10.20388127,walking
10.68563018,walking
11.73088911,walking
12.09621691,walking
11.59558854,walking
10.80094476,walking
10.7003704,walking
11.43039957,walking
12.69485215,walking
12.46275348,walking
12.11938344,walking
10.52513654,walking
9.29122584,walking
8.257758222,walking
7.98884255,walking
8.364527877,walking
8.580462732,walking
9.963554539,walking
10.48507656,walking
10.69928531,walking
10.73840081,walking
10.58463976,walking
10.3352395,walking
10.39445325,walking
11.15963247,walking
12.17458258,walking
13.41338442,walking
13.36627797,walking
13.33602049,walking
13.89498252,walking
13.84812381,walking
11.68970932,walking
11.49117408,walking
13.39526224,walking
15.45002844,walking
16.04890444,walking
14.19914889,walking
13.32593756,walking
11.78637722,walking
9.989478,walking
8.642245847,walking
8.194481729,walking
8.115434719,walking
8.160912132,walking
8.216854984,walking
8.255678318,walking
7.899517075,walking
7.91825364,walking
7.809278322,walking
7.792260608,walking
7.864184222,walking
8.088696337,walking
9.031976964,walking
9.311527238,walking
9.516423171,walking
10.22388535,walking
11.24429757,walking
11.08568408,walking
10.28984586,walking
11.01564131,walking
11.97859878,walking
12.80899802,walking
13.01408364,walking
12.22890833,walking
11.5673623,walking
9.571819165,walking
8.567395304,walking
8.215295728,walking
8.413891358,walking
8.866407129,walking
10.18780463,walking
10.96020669,walking
11.19933038,walking
11.07570182,walking
10.87119037,walking
10.56973714,walking
10.5665976,walking
11.41564641,walking
12.63202176,walking
13.15089523,walking
13.07745248,walking
13.53376913,walking
13.83689027,walking
13.15190239,walking
12.62644906,walking
12.54178022,walking
13.98018117,walking
15.09455852,walking
14.86052783,walking
13.47234116,walking
11.67150106,walking
10.84873496,walking
9.072729972,walking
8.264796185,walking
8.159931958,walking
8.098513001,walking
8.09740693,walking
8.119730122,walking
8.156083871,walking
8.192145853,walking
8.181067289,walking
7.865070267,walking
7.938679843,walking
8.136775477,walking
8.66398066,walking
9.290514251,walking
9.787487112,walking
10.56332158,walking
12.13169034,walking
12.4375791,walking
11.16561703,walking
10.11304338,walking
11.04324284,walking
11.64593173,walking
12.60249175,walking
12.25467824,walking
11.09965198,walking
9.813589591,walking
9.164586196,walking
8.219624415,walking
8.070327672,walking
8.116005819,walking
8.856273291,walking
9.124836687,walking
10.15120902,walking
10.59580582,walking
10.62659943,walking
10.54936618,walking
10.54791504,walking
10.95835527,walking
12.09494985,walking
13.76239605,walking
14.11580177,walking
14.03437464,walking
14.43032672,walking
14.40210712,walking
13.16537956,walking
12.94192153,walking
13.53889142,walking
15.17168399,walking
15.55401877,walking
14.92687028,walking
13.29385125,walking
11.6455905,walking
9.543820688,walking
8.521724591,walking
8.300503083,walking
8.270455214,walking
8.204526571,walking
8.453957562,walking
8.315072757,walking
8.181709918,walking
8.05574853,walking
7.776741435,walking
7.432155571,walking
7.487888683,walking
7.800338218,walking
8.291350933,walking
8.843648879,walking
9.266954647,walking
11.28740711,walking
12.01152564,walking
11.51657826,walking
10.66904981,walking
11.45178468,walking
12.56987896,walking
13.81610155,walking
13.50898303,walking
11.88336775,walking
10.76672396,walking
9.995446696,walking
8.688751876,walking
8.584177923,walking
8.703909799,walking
9.480713046,walking
9.888142662,walking
10.32481141,walking
10.65929288,walking
10.98845893,walking
10.98966749,walking
10.79397096,walking
10.866333,walking
11.47747658,walking
12.58740677,walking
13.03978936,walking
13.75419221,walking
15.35356665,walking
15.79446581,walking
14.97224674,walking
13.12784686,walking
13.9883511,walking
15.13626278,walking
15.74897027,walking
14.98093302,walking
13.89149269,walking
11.82797742,walking
10.41673551,walking
8.975591131,walking
8.197385391,walking
7.917928275,walking
7.560736348,walking
7.735041153,walking
7.612038615,walking
7.383240667,walking
6.907211543,walking
6.912290942,walking
6.836668466,walking
6.816015844,walking
6.969480585,walking
7.935233857,walking
8.530020037,walking
10.20843187,walking
10.68532196,walking
11.48793287,walking
12.34856403,walking
11.47103557,walking
11.2960119,walking
12.48808585,walking
13.12811609,walking
13.58404348,walking
13.02399717,walking
11.86692098,walking
11.00551925,walking
8.75643491,walking
8.337634501,walking
8.029761428,walking
8.970572702,walking
9.582927898,walking
10.19723071,walking
10.7715498,walking
10.79756023,walking
10.55439426,walking
10.3459819,walking
10.40534947,walking
10.92510918,walking
12.31756458,walking
12.76058697,walking
13.36586469,walking
14.39914629,walking
15.689984,walking
15.28627461,walking
13.86283316,walking
13.78034488,walking
14.93509363,walking
15.73725902,walking
15.22835812,walking
13.05812297,walking
12.37211621,walking
11.24968034,walking
9.322502293,walking
8.796235358,walking
8.194349972,walking
7.554760594,walking
7.441498593,walking
7.294304017,walking
7.213392482,walking
