Axyz,Act
12.77856502,walking
12.70034168,walking
14.86079015,walking
16.15170541,walking
14.94899414,walking
12.54589316,walking
13.05584521,walking
14.0740207,walking
14.83436169,walking
14.8948878,walking
13.63873544,walking
10.93791858,walking
9.559954162,walking
9.193337557,walking
9.044255798,walking
8.947328393,walking
8.999016673,walking
9.502515086,walking
9.497361533,walking
9.50003238,walking
9.252853329,walking
9.097278629,walking
8.901046654,walking
8.681061051,walking
9.03162207,walking
9.538191624,walking
9.497222913,walking
10.02108664,walking
10.98269206,walking
12.95751596,walking
12.01987353,walking
10.62018102,walking
9.595405741,walking
9.982919129,walking
10.75234086,walking
11.35279957,walking
10.42483072,walking
9.25460289,walking
7.456009024,walking
7.340706593,walking
7.250709907,walking
7.470330833,walking
8.247367113,walking
8.247367113,walking
8.656086329,walking
10.03673799,walking
10.48764882,walking
10.74300391,walking
11.95433912,walking
12.66692173,walking
12.98559774,walking
12.53753332,walking
12.72068472,walking
15.87233473,walking
15.68184985,walking
13.53065621,walking
11.75788115,walking
11.89189369,walking
12.39622524,walking
13.12265531,walking
12.74777684,walking
11.01236301,walking
8.77176372,walking
8.146421639,walking
7.571632803,walking
7.593254393,walking
7.192649016,walking
7.538245306,walking
7.992518698,walking
8.934291242,walking
9.184008096,walking
9.258745138,walking
9.366410248,walking
9.719555053,walking
10.32088683,walking
11.49292869,walking
12.12969322,walking
12.43059935,walking
13.20987814,walking
14.50683756,walking
13.26450349,walking
9.411286545,walking
7.023390345,walking
7.734721787,walking
9.188231723,walking
10.6812896,walking
11.21535711,walking
10.46302291,walking
8.297798015,walking
7.365492138,walking
6.910379129,walking
5.990516702,walking
6.163374937,walking
6.688805602,walking
7.199984339,walking
8.075677682,walking
8.495230501,walking
9.246503537,walking
10.73785066,walking
11.39840262,walking
12.45677753,walking
13.04716926,walking
13.0627759,walking
13.65101646,walking
15.57365687,walking
16.72659134,walking
13.77894821,walking
12.83364321,walking
13.10363945,walking
13.98555494,walking
13.77372808,walking
13.04853492,walking
9.866082913,walking
8.492666609,walking
7.815700683,walking
6.999150322,walking
7.092756333,walking
7.312922706,walking
8.193121956,walking
8.722451935,walking
9.122613652,walking
9.739159685,walking
9.631321878,walking
9.274001568,walking
8.925683962,walking
9.269813083,walking
9.811441518,walking
10.80551699,walking
11.00034916,walking
12.12015954,walking
14.45490235,walking
12.98312136,walking
10.90860076,walking
9.71162885,walking
9.117907195,walking
10.315243,walking
11.88704795,walking
11.21765734,walking
9.679425785,walking
8.260042003,walking
6.937529532,walking
6.625118451,walking
6.713612924,walking
7.278986837,walking
7.643753896,walking
7.92454871,walking
8.082228371,walking
8.869497923,walking
9.385924746,walking
9.650295348,walking
10.72820887,walking
11.82554308,walking
11.82554308,walking
13.27861011,walking
14.20473605,walking
17.37967218,walking
16.59477127,walking
14.61742843,walking
13.45454536,walking
13.41580937,walking
13.75288542,walking
13.7495399,walking
12.93800134,walking
11.03630309,walking
9.221631881,walking
8.429144303,walking
8.231872043,walking
8.170618719,walking
8.467590965,walking
8.982600162,walking
9.06899761,walking
9.166726825,walking
9.55629914,walking
9.329444716,walking
9.06235264,walking
9.010615207,walking
9.211332722,walking
9.998872158,walking
10.67262605,walking
11.86139002,walking
13.93446376,walking
11.72022974,walking
9.614565316,walking
8.283239312,walking
9.445307589,walking
10.3618541,walking
11.96590438,walking
12.64810372,walking
11.53965351,walking
9.738534336,walking
7.831487308,walking
6.943388532,walking
7.125049968,walking
7.18156369,walking
7.765533814,walking
8.381479459,walking
10.20591512,walking
11.05710967,walking
11.68210075,walking
12.60090002,walking
13.26701449,walking
13.450649,walking
13.45493259,walking
12.60440907,walking
14.2918471,walking
15.03495229,walking
13.79426377,walking
12.94240481,walking
13.44917435,walking
14.13064348,walking
14.28633808,walking
13.41323528,walking
11.40730951,walking
10.00561933,walking
8.694708651,walking
8.142359098,walking
8.139447969,walking
8.888907429,walking
9.777311485,walking
10.26553128,walking
10.43452251,walking
10.50839678,walking
10.49083891,walking
10.35219963,walking
10.07451734,walking
9.799506566,walking
9.683976766,walking
9.902080746,walking
9.538100308,walking
10.97189628,walking
11.36077406,walking
9.908076683,walking
8.896705889,walking
8.668198401,walking
9.160626862,walking
10.3212092,walking
10.87482013,walking
10.93280464,walking
10.580759,walking
9.706837979,walking
8.234568644,walking
7.414415043,walking
7.442947849,walking
7.577518284,walking
8.189754997,walking
8.770032523,walking
9.751415017,walking
10.60133878,walking
11.16185029,walking
11.64355566,walking
13.16769136,walking
13.51224313,walking
13.56706783,walking
13.66230553,walking
16.28353303,walking
16.39661165,walking
13.11183364,walking
11.97560882,walking
12.21752712,walking
12.82648945,walking
13.28677441,walking
12.66076152,walking
11.04616738,walking
10.00400787,walking
7.798131313,walking
7.379588636,walking
7.578418382,walking
7.84740066,walking
8.094754911,walking
8.382903773,walking
8.833169842,walking
9.132373569,walking
9.700950632,walking
9.828285609,walking
9.796696131,walking
10.23389155,walking
10.86345653,walking
11.48898945,walking
11.67902173,walking
12.68676325,walking
13.73707895,walking
11.56531381,walking
8.84262024,walking
7.815826911,walking
8.710827299,walking
10.15276793,walking
11.07844863,walking
11.20552309,walking
10.06209257,walking
8.385266845,walking
6.703397128,walking
6.386300748,walking
6.246430037,walking
7.219934596,walking
7.957558129,walking
8.673710863,walking
10.80458157,walking
11.3114798,walking
11.41438144,walking
11.96995199,walking
12.73888162,walking
13.40351903,walking
13.30327129,walking
13.55053948,walking
15.13262889,walking
15.69042785,walking
12.80753417,walking
11.43281217,walking
11.77606645,walking
12.65789805,walking
13.05801968,walking
12.74252072,walking
11.41980971,walking
9.87785517,walking
8.774575459,walking
7.828946457,walking
8.050284711,walking
8.289963284,walking
8.501485549,walking
9.73109506,walking
10.12510402,walking
10.49204049,walking
10.67880649,walking
10.57889069,walking
10.38585044,walking
10.43274479,walking
10.93851616,walking
10.94371647,walking
10.79896791,walking
12.53616087,walking
12.88418983,walking
9.264013354,walking
8.232126988,walking
7.368137392,walking
8.665393389,walking
10.02730631,walking
10.84286459,walking
10.73479745,walking
9.623585171,walking
6.86978016,walking
6.494313239,walking
6.426961246,walking
6.488760888,walking
7.925161698,walking
8.775742175,walking
9.715612512,walking
10.98046047,walking
11.27342294,walking
11.49886935,walking
11.72741706,walking
12.71811823,walking
12.92490095,walking
12.54610073,walking
13.06332933,walking
14.01436039,walking
14.75922184,walking
13.22601726,walking
12.72060718,walking
13.60621885,walking
13.82134991,walking
13.85678135,walking
12.48829836,walking
10.97941459,walking
9.439192239,walking
7.528812949,walking
7.281650252,walking
7.397131201,walking
8.192705438,walking
8.9102406,walking
9.625059023,walking
10.91196612,walking
11.05727189,walking
10.98808915,walking
11.10921854,walking
11.18657641,walking
10.92935057,walking
10.67612677,walking
10.43561241,walking
10.34558449,walking
11.65200501,walking
10.62837546,walking
8.981982882,walking
7.991046822,walking
8.882363215,walking
10.41679672,walking
12.36612588,walking
11.6982269,walking
10.24770127,walking
7.888050681,walking
6.971083784,walking
6.473621279,walking
6.880957032,walking
7.074250602,walking
7.422797413,walking
9.460689491,walking
10.6687777,walking
11.21884457,walking
11.29470142,walking
11.9522788,walking
12.84016172,walking
13.17478085,walking
13.15739489,walking
13.56982782,walking
13.56982782,walking
17.00857571,walking
13.55739484,walking
13.35143808,walking
13.65346271,walking
13.5429744,walking
13.10182814,walking
12.14607722,walking
9.795167047,walking
8.558869126,walking
7.896304183,walking
7.970155743,walking
8.07840285,walking
8.511454769,walking
9.178200531,walking
10.29856817,walking
10.78960682,walking
10.49871464,walking
10.31612217,walking
10.00295874,walking
9.936192218,walking
10.01223228,walking
10.346719,walking
10.20388684,walking
10.42825741,walking
12.72319588,walking
11.75468464,walking
10.20769132,walking
8.558893993,walking
8.927354131,walking
10.5086931,walking
12.19613533,walking
11.92211649,walking
10.68679972,walking
7.453560844,walking
6.582315065,walking
6.366195175,walking
7.018310526,walking
7.441431952,walking
8.167758235,walking
9.827572757,walking
10.55749922,walking
11.00765568,walking
12.00009475,walking
12.24994071,walking
12.58435623,walking
12.91942195,walking
12.5529018,walking
13.18986206,walking
14.65287899,walking
15.27578665,walking
13.89369278,walking
13.36949081,walking
13.59992728,walking
13.40010113,walking
13.27121408,walking
11.88317817,walking
10.41178347,walking
9.123876121,walking
8.083457715,walking
8.04288283,walking
8.262966441,walking
9.1311193,walking
9.682899917,walking
10.0380671,walking
10.56263395,walking
10.62534159,walking
